"Fifth Set"
0 0.374642
1 0.346306
2 0.321439
3 0.303804
4 0.290399
5 0.278293
6 0.266355
7 0.254424
8 0.242725
9 0.231496
10 0.220908
11 0.211061
12 0.201977
13 0.193635
14 0.185995
15 0.178998
16 0.172586
17 0.166703
18 0.161293
19 0.15631
20 0.151708
21 0.147448
22 0.143497
23 0.139822
24 0.136397
25 0.133201
26 0.13021
27 0.127406
28 0.124772
29 0.122292
30 0.119953
31 0.117747
32 0.115661
33 0.113684
34 0.11181
35 0.11003
36 0.108338
37 0.106726
38 0.10519
39 0.103723
40 0.102324
41 0.100985
42 0.0997037
43 0.0984757
44 0.0972986
45 0.0961683
46 0.0950826
47 0.0940392
48 0.0930345
49 0.0920671
